ID,Text
16,"The flavor of the fruit enclosed is outstanding(bluberry) and if there is  a drawback it is that the blanket that encloses the fruit is a bit thick (unlike this companys fig bars) and pastry textured.Flavored with cane  syrup(not fruit juice).150 cal per bar,and low in fat and the carbs(29) not too bad considering the great taste."
17,I keep a box of these in my desk at work.  They make a wonderful snack or are great if I didn't have time for breakfast.
18,my boys have been eating these for over 3 years now. Recently the box has been redesigned. I like it and it's much easier to open now. It used to have sharp edges and made it easy to get paper cuts. It seems the recipe has changed for the bar. it's softer than what it used to be. The boys still like it. They eat only this all day long if I let them.
19,"I bought these bars for several years at my local co-operative grocery store, and ate them daily--they are tasty. However, the price increased nearly 100% during that time, and I noticed that, although the individual wrappers within the box remained the same size, the bar within the wrapper decreased. When I stopped buying these, the actual bar was only half the size of the wrapper. That's deceptive packaging, so I refuse to buy these any more. I suspect that other shoppers likewise complained, because last month the store where I bought these stopped carrying them."
20,Whole family likes these.  Tasty but not over sweet.  Much more healthy for you than most bars.  Excellentprice through Amazon on the repeating order subscription.
21,"barbara's yogurt bars are okay.  i found the whole grain bar very dry and there really isn't much blueberry, or for that matter, apple flavors.  on the positive side, the bar is a soft chew.  total carbs 29g.  it's an okay bar in the glut of cereal bars to choose from at the grocery store."
22,"My son has been eating these for the last two years and loves them.  I love them because they have yogurt in them, and for a picky eater provides some good nutrition.  Wish they were organic, but we can't have them all.  Much healthier than Nutragrain."
23,"This product was a big disappointment.  The picture on the box is misleading.  These bars aren't chunky, the dough isn't flaky (more like cardboardy), they aren't filled with pieces of fruit, and if you didn't read the label (which claims about 30 items down the ingredient list that ""yogurt powder"" is added), you wouldn't have any idea you were eating yogurt at all.  The bars probably contain MSGs, with all of the ""natural flavorings,"" etc.  Whatever calcium and other vitamins might be present have probably been added in what the ingredients list calls a ""vitamin blend"" -- there's too little food in the bar to give you much nutrition, anyway.  The experience is very much like eating a long, thin fig bar -- only not as tasty.  The fig bars I buy at my neighborhood grocery contain sugar, but also real fruit, whole wheat, no MSGs, and no trans fats. I'd rather eat one of them. I won't be purchasing this product again."
24,"These aren't as good as other bars of this type. My kids won't eat them, nor will my husband. They are all fond of the Nutrigrain variety, but I thought these would be a healthier alternative."
25,Good product! good price  fast shipping . needs an insert in lid to seal container better!
26,"Looked like a good deal, so I ordered the ground fennel, as well as 4 other spices and seasonings from this company, but was disappointed with them all. Zero flavor, not even the fragrance of the right herbs or spices when loosely sealed containers were opened. The dill smelled like dried musty grass, and the onion even worse. Ended up throwing them all away...save your money, DO NOT BUY THIS PRODUCT."
27,I couldn't find this product in the store.  I love the size and the price was just right.  Love the promptness of the delivery.
28,"As an avid rice cracker fan, I've tried a lot of different varieties, and this is the best as far as taste and availability goes. Obviously some of the best are in the Japanese grocery stores, but at least in my case, they're out of the way most of the time.<br /><br />The crackers themselves are savory and crunchy--exactly what I look for in this snack (and this particular mix is nothing but crackers!).<br />Thanks to these, I've stopped trying out the regular grocery store imitations."
29,"Our Corgi loves all sizes, shapes, and flavors of Dingo Bone treats!  The other reviewer commented on the VENDOR; we've never got a bad Dingo yet!  Highly recommended!"
30,When I received this product it was old and dried out!  Dingo makes a good product.  I buy them all the time and my dog loves them but this supplier should pay more attention to what they ship.
31,most of the nuts in these bags were so old they had turned black totally worthless will never order again
32,"I did not even receive the correct product, what I received were raw UNSHELLEd peanuts, but had no option to return them becuase amazon does not allow this. I attempted to contact but got no reply, do not buy from here!"
33,"<a href=""http://www.amazon.com/gp/product/B001EO6BCC"">Royal Oak  Gourmet Virginia Raw In Shell Peanuts, 2.5 Pound Bags (Pack of 3)</a><br /><br />I'll appreciate your speedy deliver of my package, however you sent me raw peanuts without the shell.  This item is going into a gift basket for my Pastor because he love raw peanuts in a shell.  I don't have time to returned them for the requested product. You have always been prompt with my orders in the past and I really do appreciate.  This is the first time you sent me an incorrect product.  I'll make it work."
34,"I would agree with the other poor ratings for Royal Oak - very poor customer service from Royal Oak. We ordered, this year, the exact same product as last year. When it arrived, the nuts were not the same product, and they would not refund or pay shipping for the return. Also, they only operate the few weeks that peanuts are 'in season.' Otherwise, emails and phone calls are not even acknowledged."
35,"I recommand this product. My childrens (5 and 3) love it, pouches as very usefull especially for breaks.<br />To choose. Enjoy"
36,I've tried many different brands of Virginia peanuts but these are far and away the best. I've turned my entire family on to this brand and they've ordered them also. They're superb.
37,"First of all, there are two kinds of paprika - sweet and hot.  Both are delicious but the Szeged sweet paprika is more versatile than the hot kind (which is also awesome!). I have been using this spice for years and the Hungarian type is consistently better than any other type/brand.  Use this on meat, veggies, cassaroles, salad, baked bries, quiches, egg dishes, shrimp, pretty much anything.  I use this in soup all winter long, especially with gulyas levas (this is a traditional Hungarian soup though it is often confused with goulash) and czipetke.<br /><br />This product is the large restaurant size, which is the only size to have if you do any amount of cooking because once you try this you will love it's versatility!!!!"
38,"I was so pleased with this purchase. A great value since I got them on a monthly sale!! I love to have these on hand for they come into play so nicely in so many recipes. Always a joy to have a good ""crunch"" in some recipes. One of my favorite ways to use this larger can is to wrap a piece of bacon around them and secure with a toothpick. Then I dip them in a Apricot Ginger marinade and put in the oven until the bacon is crisp. My family loves an appetizer dinner once in a while and this is one of their favorites. Be mindful that this is a larger can so have a couple of recipes in mind for them when opening, although they do stay fresh in the frig for a while."
39,Not only is the sweetener great in coffee or ice tea it makes a slammin skinny margarita.  Also try their Agava Simple Syrup - LOVE IT
40,"I adore using this very vanilla bean paste ESPECIALLY for my cream pies and ice cream. Why, it's like adding a ""touch of heaven"", but without any of the bother of scraping out vanilla bean pods. The flavor is also better to my liking too than vanilla beans. The price is WAY, way better too and it's stores fabulously on the shelf for ages!<br /><br />For combined shipping, be sure to get their SWEET DOUGH FLAVORING and POWDERED VANILLA too. You'll be glad you did!<br /><br />For more cooking tips & techniques... google my name SharonAnne."
41,"Enfamil Premium Lipil Formula is the same as the previous flagship Mead Johnson formula--Enfamil Lipil--except that it has ""prebiotics"" added in.  Our son was on Enfamil Lipil from September 2007-September 2008.  He was breastfed and formula fed during this time.  Our daughter, who is due in January 2010, will also be breastfed and formula fed for her first year of life.  We tried two other formulas with our son--Similac Advance and Parent's Choice.  The Similac was fine but clumped badly.  During the time we experimented with the Parent's Choice formula, my son was consistently troubled by colds and the flu.  I think the Parent's Choice formula lowered his immunity somehow and will never use it again.  I believe that Mead Johnson's decision to use prebiotics is a good one.  Our son had colic/acid reflux in part because his digestive system was not yet populated with the good bacteria for breaking down milk proteins.  He was a lot more comfortable after we started putting a little Culturelle (a probiotic) in his formula in the evening.  And since a lot of our immune system is in our digestive tract, he had fewer sick days after introducing the Culturelle.  Probiotics and prebiotics will also help infants rebound from the negative effects of antibiotics like amoxicillin quicker.<br /><br />Regarding the bpa found in formula can liners, I talked to an Enfamil customer service representative who told me that Mead Johnson now uses cans that are lined with a ""modified polyester"" that is bpa free.  Similac Advance Earlyshield comes in a bpa-free can also (the SimplePac container).<br /><br />Another concern parents have is the cost of formula.  Name brand formulas are expensive!  But if you think about it, you are feeding a human being for about $15 a week (a can usually lasts us 1.5 to 2 weeks).  $15 a week is peanuts compared to what a hungry teenager devours!  And with name brand formulas you are getting the absolute best product available--Bill Gates couldn't buy a better formula than what's on the shelves at Target or Wal-mart.<br /><br />If you are a new parent and feel overwhelmed by the infant formula section of your grocery store (as I was in September 2007), I suggest starting with the flagship formula of either Mead Johnson (Enfamil Premium Lipil), Abbott Laboratories (Similac Advance Earlyshield), or Nestle (Good Start Gentle Plus or Good Start Protect Plus).  They are all excellent infant formulas.  You just have to see what works for you and your baby."
42,"I wish I found the plastic refill packs instead of 6 giant metaL cans - seems like a lot of wasted packaging.  I just didn't know to look for them until much later.  But, its much cheaper from amazon than the gocery store.  Probably about the same price as costco but no tax here and super convenient. And, the formula mixes well, my kid loves it and (most importantly) his poops seem normal...not nasty formula poops if you know what I mean!"
43,Alot of moms like me like this item because our babies have no constapation on it i love it very much.
44,"no gas for baby, no extra bubbles when you shake it in warm or cold water, mixes perfectly without much time... this is easy.  my kid was happy swapping from breast milk to this with no hesitation when my milk dried up at 6mths."
45,We had to move to formula when our baby was 8 weeks. We have found Enfamil Premium to mix easier than the regular Enfamil Lipil. Our baby has had no digestive issues from the formula. I love getting it in bulk from Amazon as it saves the weekly trip to the store for formula. The price (with free shipping) is comparable with local grocery stores in the Austin Area.
46,Our Baby loves it. And Amazon is very reliable and fast free super saver shipping is always a good deal. Thanks amazon.
47,"I read other reviews before buying and they are not encoraging.. But still for some reasons, I got  to buy (to use my amazon gift card).  But then I am very happy with the purchase. Delivery is prompt. Quantity is correct . Over all a few bucks savings than you buy at a retail shop."
48,"Go to Costco, and you can buy lower than this  price per oz. Currently $32 ($3 off regular $34.99)+ tax for big size = 0.83$/oz.<br /><br />Besides, it is more convinient to return if you kid does not like this formula<br /><br />Be careful, many times some sellers over price a product, and still make the product rank in the best sellers."
49,"Be careful when odering this, because they say it's a 6 pk, but you will only get a 4 pk, plus the formula goes out in 4 months.  So if you did like I did and got it early for grandchildren your out of luck!  So I know I will not be buying off of this site again for food for my grandchildren, because they won't be able to eat it."
50,"If one reads this products ingredients they will find that the first ingredient is cows milk, then SUGAR (diabetic maker), then milk, again. The fourth ingredient is sunflower oil, fifth ingredient is maltodextrin which is starch produced from grain containing the sugars maltose and dextrin, with the seventh ingredient being, get this, tuna fish oil. They even feature vitamin D3, which is animal derived. There are four different sugar sources in it and some artificial flavor for good measure. If we really think about what we are feeding our babies, would we use this product? I know I wouldn't. Know your food sources."
51,Have tried a few different peanut brittle's from Amazon and this is by far the best. It is LOADED with peanuts plus being in a sealed tin makes it seem fresher wit minimal breakage.
52,These were rancid upon receipt.  Terrible.  Very little sugar if any used.  Something went wrong with these as I can't believe anyone would see this as a final product.  Both cans!
53,"I like that these are organic and don't have corn syrup.  My kids and I both like them.  I'd give them 5 stars but I noticed earlier this year that they changed the recipe.  The crackers are lighter and flakier than they used to be and they break more easily.  And if you have kids under 5, you might understand how upsetting broken crackers can be.  The taste is still great, but I preffered the old texture myself and definitely for my kids who cry when the crackers break while they are eating them.  And when you order these in the mail, like I did last time, don't expect many full graham cracker sheets - most are already broken in two, and quite a few are broken at the edges as well."
54,I have been buying  new Morning Graham Crackers since February of 2010. Never had a Problem with damage of the crackers in shipping .<br />Why Did Amazon Remove the Graham Crackers From Subscribe and Save?????  Why Did Amazon Remove The Graham Crackers From Prime ???The Crackers are a much Higher Price From a Third Party Seller. I will Purchase the Crackers From Whole Foods . Not Fair of Amazon to Take Away the Connivence of Ordering a Case
55,"My husband has to limit the amount of sugar he takes in and these contain no sugar, and they taste great!"
56,"I rarely want to eat much when I first arise in the morning; but I do have coffee.  I've found that these cinnamon graham crackers work great for me as a little something to eat along with my coffee.  They are graham crackers - not anything super-duper amazing - but they are nice, cinnamony graham crackers that are organic."
57,"My children will only eat healthy products, and they love these graham crackers.  I am so glad that they are available through Amazon!"
58,"These crackers are terrific, and they are priced right.  However, i ordered them on 10/29/06, and the expiration date on the box was 12/31/06.  We have only eaten four boxes.  They still taste fine after the expiration date, but... am i really expected to consume 12 boxes in 2 months?"
59,"These are very good, they were a great price and fast-free shipping when you purchase enough food.  The only thing is that the box was smaller than I guessed it would be."
60,"I was quite surprised to find that Sociables were available thru Amazon. I cannot find them in the local supermarkets and thought I would have to give them up.<br />They arrived quickly, in great condition, and we now are on regular shipments of them."
61,"I felt ripped off. The photo clearly shows two bones and the price, at $8 plus, is indicative of two. I thought I was purchasing a ""bone"" packaged as two to a pack. Walmart sells identical big smoked knuckle bones for $3.50 ea. Why doesn't the photo show one bone instead of two if they are just shipping one? It wasn't worth the hassle to return the package to make my point of protest so I am doing it here.  Beartoothjoe"
62,"Wow I heard of this candy but could never find it, now I am hooked. Now I don't have to suck on child lemons with salt, just shakey shakey."
63,"I absolutely love these! Seven of these sweet, very thin Graham Crisps are only 60 calories, but it's easy to eat a lot of them and there are almost 80 in the package. Delicious by themselves; wonderful with ice cream. If they are purchased using Amazon's Add-on Program there is no shipping charge.<br /><br />UPDATE:  I've seen mixed reviews of this company's products. The items I've purchased have not been stale or strange smelling."
64,"I love the 34 degree cracked peppercorn, wheat, and other varieties so I thought I would try the caramel, cinnamon, and graham as an alternative to cookies or regular graham crackers. True - you can have a lot of these crackers for little calories/carbs, but the flavor is bland. In terms of satisfaction, they don't quite cut it for me as a snack unless I put peanut butter or something on them. They would probably be good as part of a fruit and cheese dessert platter, along with some peanut butter, fruit spread, honey, or cream cheese."
65,"Is that these are 60 calories per serving, however, in all honesty, I didn't make it through a full serving.<br /><br />I was excited about these, they looked like a ""grown up graham cracker"".<br /><br />First problem was the smell. They smelled like melted plastic, and something else I'd hesitate to even guess what it is, but it's bad. I bravely pulled out one small crisp, hoping that maybe it was the packaging that had the ... aroma. It was not. The crisp itself smells horrific.<br />I figured there was no way it could taste as bad as it smelled.<br />Second problem is that I was very, very wrong about that. They have a funky, chemical taste that just defies description. The aftertaste is sort of like a skunky/chewing on a plastic pen cap that went thru the wash/wet cardboard kinda taste. Seriously, it was awful.<br /><br />I tasted these about 45 minutes ago, and after drinking an entire bottle of water AND brushing my teeth, I CAN STILL TASTE IT.<br /><br />I'm glad these were an add-on, but they are still absolutely terrible. Their only redeeming quality is that they are cute. Not one single member of my family will actually eat them though, so this was definitely a waste of 3$. Had I known they would be this awful, I'd have just got a second bag of <a href=""http://www.amazon.com/gp/product/B007POA158"">Hi I'm Skinny Sticks, Sweet Onion Multigrain, 7-Ounce</a>.<br />Only 30 cent more than these, but MILES better in taste."
66,"This soup is good. I really love this brand of soups..my favorite being the Chicken and Dumplings. Healthy Choice isn't always the best brand when it comes to frozen meals but for some reason they really knocked it out of the park with their soups. I love them, they taste homemade and amazingly better than Campbell's or Progresso. I recommend this, the Chicken and Dumplings, the Split Pea and Ham...in fact, every variety I've tried has been delicious. You can't really go wrong with this."
67,"First, I agree with J. Bishop's (Houston, TX) review.<br /><br />This is not only the best flavor of the Healthy Choice soup line, it is clearly among the best canned soup flavors of all time.<br /><br />Healthy Choice is the only brand of canned soup I buy on any regular basis.  It's the only brand that has never used MSG--a sure sign that a recipe lacks imagination (not too mention sodium issues).<br /><br />I really wish I could buy quantities of this in the microwave packaging (hard to find in stores)... a lifetime supply would do nicely."
68,If you love vegetable soup you should like this. Yes it has come chicken and large noodle type items in it too.<br />But it was not as good as I expected or hoped it would be
69,I enjoyed this soup.  It was flavorful with a nice blend of spices.  I will buy it again.
70,"Tortilla soup is one of my favorite soups, and I like both the tomato and chicken broth varieties. Although I didn't expect freshly fried tortilla strips or queso fresco in a canned soup, I did expect something that resembled all other tortilla soups I have tried, that is a LIGHT broth with a mix of vegetables, corn, beans chicken and Mexican spices. This soup is thick - really thick, like the thickest tomato soup you've ever had with a grilled cheese sandwich. It's also sweet, and does not taste in the least like a Mexican soup. Instead, imagine straight tomato soup with a bunch of vegetables, beans and some chicken thrown in.<br /><br />I ended up giving it all away, and, to be fair, one of the people I gave the soup to said her husband really liked it.<br /><br />For a canned soup that much more closely resembles real tortilla soup, try <a href=""http://www.amazon.com/gp/product/B0014EUB7I"">Campbell's Select Mexican Chicken Tortilla, 18.6-Ounce Cans (Pack of 12)</a>."
71,"First off, there is a difference when you drink something out of box versus glass. A big difference.<br /><br />I was strolling in my local health food store and saw that this product was being packaged in a bottle. I snatched that sucker off the shelf faster than you could blink.<br /><br />I had tried this brand visiting a bigger city over a year ago. Only to find out when I got home that they didn't sell the canned version at my store. I was so bummed but not up for ordering cases of this stuff online.<br /><br />I have tried the other brands. This is by far the best. It could be because it's in a glass. I'm not a high end taste tester but I just know there is a big difference. And this stuff is like wine...best served when chilled. So being in a glass bottle makes all the difference in the world. Guess you could make that analogy of boxed wined versus bottled. I'll always take bottle over boxed even if the box is more bang for your buck. I'm a foodie. I love savoring food and beverage.<br /><br />A lot of people are mentioning it's over priced. Compared to what? And if you notice it's not Amazon selling it, it's a distributor using Amazon as a portal to advertise and sell it. The free shipping is really put into the cost of the price of a case. They could reduce the price but then it would probably say $10-$15.00 for shipping. It really would not make a difference.<br /><br />But I'm happy it's at my local health food store. I'm not ready to buy this by the case. Woohoo. Thanks, Taste Nirvana. This really is ""Happiness in a bottle."" Go get your own. I'm not sharing ;)"
72,"This brand is a little hard to find in stores as i don't think it's carried by any of the major supermarket chains. I discovered it at Au Bon Pain and noticed that unlike other brands I've tried, this one is not from concentrate and has nothing added, it's just pure unadultered coconut water, so the quality can't get much better. The other thing i really like about it is that it's a glass container rather than paper or plastic, so the taste is not compromised. These things alone are worth 5 stars to me but there are a couple things I would suggest to make it even better. First, this isn't really pulp the way you would think of it from you experience with fruit juices where there's pulverized, very small, drinkable pieces floating in the liquid; these are chunks of diced coconut that you have to chew up while drinking. To me, this would be fine if they were all the soft flesh you'd expect from a young cocunut but many of the pieces are harder which is unpleasant in a drink. Second, 9.5 ounces doesn't go a long way, I'd like to see it bumped up to at least a 12oz, I'd then feel like I'm getting an adequate amount for my money and it would last longer and quench better."
73,"If you like coconut water, then you will love Taste Nirvana!!! It has bits of coconut in it. Not just a few, it has a lot of little bits."
74,this is great coconut water and there is no added sugar. its all natural and they use ripe coconut not young coconut.
75,"Pretty close to the taste of a freshly opened coconut.  I'd like to know more about the process for obtaining this water to understand what the ""natural coconut water"" means.  The tasty juicy bits of pulp in the product add an extra complexity and make this a very refreshing beverage.  The fresh coconut is jelly like and not so pulpy, but it's still tasty."
76,"As far as taste goes, this is the best coconut water I've tasted. I have not tried all the other brands, so I am only comparing this to coconut water ordered at restaurants (which I think is usually sweetened, so it really isn't a fair comparison), Vitacoco, and Amy and Brian's. Vitacoco uses Brazilian coconuts while Taste Nirvana and Amy and Brian's use Thai coconuts. It seems like Taste Nirvana and Amy and Brian's are naturally sweeter than Vitacoco, with Taste Nirvana being the sweetest. This is a good sweet though, since all of these three brands have no sugars added. While I've liked all the coconut water I've tasted, Vitacoco can have a slightly more salty and less sweet taste, while Taste Nirvana has an amazing taste with just the right amount of sweetness. I liked the pulp as well, although some of the pieces seem to be from more mature coconuts rather than the young almost gelatin pulps I'm used to at some restaurants.<br /><br />The only reason I took a star off is due to the price. These 9.5 oz bottles are not the most economical way to buy Taste Nirvana. In fact, at the current price this costs as much as I paid at the coffee shop for individual bottles. For the best bargain on this brand, buy <a href=""http://www.amazon.com/gp/product/B004OW342G"">Taste Nirvana Real Coconut Water With Pulp, 16.2-Ounce (Pack of 12)</a>.<br /><br />I wanted to try this brand because a lot of people say Taste Nirvana or Amy and Brian's taste the best, and I'd have to give my vote to Taste Nirvana. Hopefully some day I will taste a fresh coconut and maybe that will get my vote, but if you're like me and don't have any coconut trees nearby, try this out. Enjoy!"
77,"This is my favorite coconut water! Having traveled in Asia and being able to get someone to climb a tree to harvest a coconut and then open it with a machete, nothing I found in the store came close... until I found Taste Nirvana. The other brands are mostly from Brazilian coconuts, whereas this brand uses Thailand coconuts and it makes a difference.  Truly happiness in a bottle. It's a little pricey, but I can't get enough!"
78,"I had coconut trees growing in my backyard in Southeast Asia, and enjoyed drinking coconut water right from the coconut itself. Taste Nirvana Real Coconut Water with Pulp is the closest to the real thing that I've found."
79,IMHO. There is simply not a better beverage on Earth. Since I need to add  some more words see prior sentence.
80,"Coconut water should not be sweetened!!! Actually ""NO SUGAR SHOULD EVER BE ADDED"" sweeting things is an american custom, which ruins the real flavor of coconut water. I lived in Jamaica for 4 years and the bahamas for 2, and the coconut water from real coconut does not have any added sugar, its natural.<br />I will stick to buying the brown hard shell coconuts from the supermarket and drink that it's more natural and unaltered. These boxed, caned and packaged coconut water are nasty, i am still yet to try a brand, one of the many that i have tried that will make me wanna buy it."
81,This will ruin supermarket mustard for you. High quality and just the right amount of bite so it allows the food to shine through.
82,"I have tasted one too many different mustards which claim to be spicy, but fall short.  This spreads easy and is neither too thick, nor too thin.  It actually does have enough heat to taste, without being excessive.  This mustard would make a great addition to any sauces, marinades, salad dressings, or just for dipping!  I would recommend this product, for anyone who is looking for a mustard with some true heat."
83,"A very tasty little cake. The cake was surprisingly moist, and the caramel rum sauce was very sweet but not too overpowering. We'll definitely be buying this product again."
84,"The cake was a little smaller than I thought, but it was delicious.  My husband and I enjoyed it so much, we are ordering more for Christmas!"
85,"This tea actually tastes the way a rose smells.  It's like sipping on roses when you drink it.  I'm glad it can be purchased on Amazon because I looked in every regular food store as well as the more unusual stores, like Trader Joes, that carry unusual food items and could not find it."
86,"It says Habenero peppers on the ingredients, but my guess is they just waved it over the closed bottle. Smells like molasses and soy sauce. Taste like molasses and soy sauce. Absolutely boring."
87,Great sauce! Used in many Jamaican restaurants to help with the heat of the jerk seasoning. Most use Walkerwood jerk seasoning to make the jerk and pour this on later on the jerk or the rice.
88,"Tastes too sweet, which Jerk Seasoning is not.  Walker's woods is the most authentic to taste.  This was a waste."
89,"I thought I would try this, but I am sticking with my UNCLE JOES JERK SAUCE!!! This is sweet & not hot....should be hot if they are going to put jerk on the label"
90,"Received order within 7 business days.  The product received did not have the same label as pictured though the wording was the same.  Also the product did not have the same flavor as the product pictured (which we had bought previously locally).  I suppose the manufacturer has not only changed the label for this product, but also the recipe.  The distributor provided excellent service and we have decided to keep the sauce we received, just have to make our own modifications for our grilled vegetable recipe we have used in the past.  Thanks for another great distributor for the products we like.<a href=""http://www.amazon.com/gp/product/B001EO5ZFQ"">World Harbors Jamican Style Jerk Sauce, 16-Ounce Bottle, (Pack of 6)</a>"
91,"I LOVE this sauce! It is sweet and molasses-y, with a tiny kick of heat.  I use it to make Hawaiian chicken or pork all the time.  I've never had authentic Jamaican jerk, so I can't vouch for accuracy there, but my whole family loves this one :D"
92,"I love this sauce! I used to get it at my local grocery store, but they've stopped selling it. I just ordered a six pack and it's going to last a good long while. Most people I know that have tried this don't like it, but I find the taste sweet and kind of zippy at the same time. I have been trying to find a substitute for months! I'm so glad I found this on Amazon! :)"
93,"We used to buy this sauce at our local grocery store which closed in September.  Luckily, we were able to find it at Amazon.  You do have to buy a 6-pack but the expiration date is March 2012.  Habanero Peppers give it a kick even though it has no onions.  I'm allergic to onions so this is a welcome product.  Very hard to find any good sauce with no onions."
94,"This sauce has just the right combination of sweet, spicy and mild heat that is perfect for using with a family.  The spicy isn't overpowered with allspice, the way some other brands are.  Baste this on grilled pineapple for Jerk Turkey Burgers and you'll be in love too!  My only trouble is finding it in our small town stores... have had to go to the internet, but it's worth it."
